"Country_Name","Country.Code","gdp_2006","gdp_2007","gdp_2016","gdp_2017","life_exp_2006","life_exp_2007","life_exp_2016","life_exp_2017","pop_2006","pop_2007","pop_2016","pop_2017","popw_2006","popw_2007","popw_2016","popw_2017","urban_2006","urban_2007","urban_2016","urban_2017","educ_spend2006","educ_spend2007","educ_spend2016","educ_spend2017","net_use_2006","net_use_2007","net_use_2016","net_use_2017"
"Bosnia and Herzegovina","BIH",4177.656325,4425.382897,5591.027962,5827.690225,75.342,75.498,76.998,77.128,3765424,3762786,3386267,3351527,2603646,2613956,2370400,2327787,44.282,44.601,47.518,47.876,NA,NA,NA,NA,25.12238569,27.92,60.25653543,64.89197728
"Botswana","BWA",6038.79181,6400.717568,7797.146805,7859.439477,53.435,54.983,68.178,68.812,1835908,1875459,2159944,2205128,1112865,1142618,1324661,1355588,56.4,57.928,67.933,68.7,NA,8.85149,NA,NA,4.289932975,5.28,39.36299738,47
"Brazil","BRA",9805.724506,10293.53034,10962.62549,10990.18668,72.26,72.618,75.23,75.456,188167356,190130443,206163058,207833831,126082502,128068764,143590074,144882359,83.143,83.448,86.042,86.309,4.8706,4.97426,NA,NA,28.17838018,30.88,60.87254007,67.47128452
"British Virgin Islands","VGB",NA,NA,NA,NA,NA,NA,NA,NA,24023,25047,29355,29577,NA,NA,NA,NA,43.517,43.831,46.957,47.337,4.17223,3.67275,NA,3.23202,NA,NA,77.70142968,77.70426829
"Brunei Darussalam","BRN",37399.74001,36987.84159,31685.22545,31752.78746,74.189,74.351,75.45,75.585,370263,374965,419800,424473,257035,261432,301483,305350,73.529,73.892,76.99,77.312,NA,NA,4.42541,NA,42.18634916,44.68,90,94.86669164
"Bulgaria","BGR",5988.770951,6476.054203,7966.882009,8331.152273,72.61219512,72.66341463,74.81219512,74.81219512,7601022,7545338,7127822,7075947,5245247,5204270,4651208,4585049,70.932,71.278,74.329,74.669,3.93202,3.68211,NA,NA,27.09,33.64,59.82554766,63.41010138
"Burkina Faso","BFA",527.9623877,541.268695,664.0236306,685.7574861,54.063,54.841,60.354,60.768,13829176,14252021,18646378,19193284,7043932,7264935,9733899,10059169,22.339,22.996,28.134,28.743,4.47876,4.58858,NA,NA,0.632707564,0.75,13.96,16
"Burundi","BDI",225.6222104,225.8590853,219.9614978,214.1392462,54.163,54.944,60.528,60.898,7607849,7862214,10487998,10827024,3896912,4063676,5485534,5657959,9.617,9.864,12.388,12.706,NA,NA,4.69272,4.76183,0.65759259,0.7,5.173626777,2.660748535
"Cabo Verde","CPV",2882.889946,3279.078357,3532.140211,3630.483792,70.565,70.676,72.347,72.57,469170,475060,531146,537497,271168,280274,350179,356276,58.529,59.363,64.784,65.261,6.5296,5.40755,5.28879,5.17322,6.808911008,8.28321982,50.32281787,57.16214635
"Cambodia","KHM",668.8764894,726.2869826,1079.630539,1137.821397,63.927,64.697,68.977,69.289,13477709,13679962,15766293,16009414,8126989,8350593,10146089,10296732,19.293,19.413,22.582,22.98,NA,1.5993,NA,NA,0.46835672,0.49,32.39845171,32.44694856
"Cameroon","CMR",1250.244179,1276.059915,1467.760752,1480.287885,53.215,53.681,58.063,58.511,18223674,18730282,23926539,24566045,9639438,9931185,12969357,13364242,49.143,49.746,55.179,55.777,2.74145,3.07523,2.65423,3.06699,2.028744791,2.93,23.20297197,23.20297197
"Canada","CAN",48014.9312,48536.53941,50263.83433,51150.75462,80.34390244,80.54390244,82.1422439,82.24897561,32571174,32889025,36109487,36540268,22581706,22834087,24426969,24587022,80.213,80.396,81.3,81.35,NA,4.78036,NA,NA,72.4,73.2,91.16,91
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA,NA,NA,50740,52280,62569,63382,NA,NA,NA,NA,100,100,100,100,2.60739,NA,NA,NA,44.5,52,79,81.06769325
"Central African Republic","CAF",428.5388556,439.7474438,363.0493644,374.4176187,45.158,45.636,51.593,52.24,4118069,4198010,4537687,4596028,2184196,2220970,2369235,2413934,38.193,38.339,40.618,40.98,1.41506,1.31332,NA,NA,0.311159173,0.375815961,4,4.339254945
"Chad","TCD",809.2498849,807.8438943,868.2116954,816.7373633,48.907,49.335,53.438,53.712,10457124,10818024,14561666,15016773,5033485,5212664,7267363,7528315,21.834,21.868,22.677,22.858,NA,NA,NA,NA,0.581045764,0.847224521,5,6.49999812
"Channel Islands","CHI",NA,NA,NA,NA,80.553,80.802,82.6,82.766,153008,154636,166923,168665,105047,106149,113235,114144,30.805,30.867,30.93,30.914,NA,NA,NA,NA,NA,NA,NA,NA
